id,name,slug,category,retail_price,bulk_price,bulk_min_qty,has_thumbnail,variant_group_id,variant_label
d9eb0842-cd2a-42fc-baf4-9f8fc98d90ce,"Super Stainless Razor Blades, Double Edge, 5 Blades Per Pack, 10 Tucks, Super Platinum Series",super-stainless-razor-blades-double-edge-5-blades-per-pack-10-tucks-super-platin,Accessories,189.0,,,yes,,
d7c6b197-049c-4423-bab3-fb627dd866d7,C15-43-10 Flashing Spiky Ball,c15-43-10-flashing-spiky-ball,Accessories,18.0,9.0,360,yes,,
f883dad7-bac6-4492-9576-7bdeed5b69ac,"Fan Heater, 2000W, 2 Heating Levels, Cool/Warm/Hot Wind, Adjustable Thermostat, Overheat Protection - DGM-QHS23",fan-heater-2000w-2-heating-levels-coolwarmhot-wind-adjustable-thermostat-overhea,Accessories,399.0,,,yes,,
e984f7cf-11c2-4b27-9250-0f4fa9ab70fd,Creative Folding Laptop Bracket,creative-folding-laptop-bracket,Accessories,185.0,,,yes,,
90e4cd2d-ed1a-4e13-a5c8-c7c5b9cf396b,1.2L STAINLESS STEEL TUMBLER CUP WIITH STRAW & SILICONE SEAL (BLACK),12l-stainless-steel-tumbler-cup-wiith-straw-silicone-seal-black,Accessories,169.0,,,yes,11111111-0001-0001-0001-000000000001,Black
8b386c43-63f8-48c7-89d1-ccd61fb31405,C5-1-60 Daytime Running Light (DRL),c5-1-60-daytime-running-light-drl,Automobile,70.0,35.0,200,yes,,
f45892d0-efaa-43f9-a184-50f3cf165b4d,"Headlight Restoration Spray, Professional Car Headlamp Spray, 2-Pack",headlight-restoration-spray-professional-car-headlamp-spray-2-pack,Accessories,499.0,,,yes,,
0658098f-8cdb-40c0-a8a1-507b703acbbc,1.2L STAINLESS STEEL TUMBLER CUP WIITH STRAW & SILICONE SEAL (PINK),12l-stainless-steel-tumbler-cup-wiith-straw-silicone-seal-pink,Accessories,169.0,,,yes,11111111-0001-0001-0001-000000000001,Pink
14624c43-e30a-4f2c-8bae-54a0aeb80457,80L Camping & Hiking Large Capacity Travel and Tactical Backpack,80l-camping-hiking-large-capacity-travel-and-tactical-backpack,Accessories,574.0,,,yes,,
bb87ece1-54dd-49d4-a32d-18bc75479c3f,4 BAR CERAMIC ELECTRIC HEATER - DGM-QHR46,4-bar-ceramic-electric-heater-dgm-qhr46,Accessories,499.0,,,yes,,
893eb099-cd8d-4ecb-8f0d-647375ed6e81,MIKUSO CORDIE-1 NOTEBOOK COOLING PAD,mikuso-cordie-1-notebook-cooling-pad,Accessories,365.0,,,yes,,
