product_name,status,cloudinary_url_1,cloudinary_url_2,cloudinary_url_3,error
"20x30cm Bamboo Cutting Board with Metal Ring, Natural Wood Kitchen Chopping Board, Rectangular",ok,https://res.cloudinary.com/dzhwylkfr/image/upload/v1778046871/cx-electronics/products/20x30cm-bamboo-cutting-board-with-metal-ring-natural-wood-kitchen-chopping-board-1.jpg,https://res.cloudinary.com/dzhwylkfr/image/upload/v1778046873/cx-electronics/products/20x30cm-bamboo-cutting-board-with-metal-ring-natural-wood-kitchen-chopping-board-2.jpg,,
"22.5W Power Bank with Built-in Cables, USB-C and Lightening, Portable Charger, 10000mAh",ok,https://res.cloudinary.com/dzhwylkfr/image/upload/v1778046874/cx-electronics/products/225w-power-bank-with-built-in-cables-usb-c-and-lightening-portable-charger-10000-1.jpg,,,
23x17x17cm DIGITAL SECURITY ELECTRONIC SAFE BOX,ok,https://res.cloudinary.com/dzhwylkfr/image/upload/v1778046876/cx-electronics/products/23x17x17cm-digital-security-electronic-safe-box-1.jpg,https://res.cloudinary.com/dzhwylkfr/image/upload/v1778046877/cx-electronics/products/23x17x17cm-digital-security-electronic-safe-box-2.jpg,https://res.cloudinary.com/dzhwylkfr/image/upload/v1778046879/cx-electronics/products/23x17x17cm-digital-security-electronic-safe-box-3.jpg,
3 BAR CERAMIC ELECTRIC HEATER - DGM-QHR15,ok,https://res.cloudinary.com/dzhwylkfr/image/upload/v1778046880/cx-electronics/products/3-bar-ceramic-electric-heater-dgm-qhr15-1.jpg,https://res.cloudinary.com/dzhwylkfr/image/upload/v1778046882/cx-electronics/products/3-bar-ceramic-electric-heater-dgm-qhr15-2.jpg,https://res.cloudinary.com/dzhwylkfr/image/upload/v1778046883/cx-electronics/products/3-bar-ceramic-electric-heater-dgm-qhr15-3.jpg,
3 BAR ELECTRIC OSCILLATING HEATER - DGM-QHS03,ok,https://res.cloudinary.com/dzhwylkfr/image/upload/v1778046885/cx-electronics/products/3-bar-electric-oscillating-heater-dgm-qhs03-1.jpg,https://res.cloudinary.com/dzhwylkfr/image/upload/v1778046886/cx-electronics/products/3-bar-electric-oscillating-heater-dgm-qhs03-2.jpg,https://res.cloudinary.com/dzhwylkfr/image/upload/v1778046888/cx-electronics/products/3-bar-electric-oscillating-heater-dgm-qhs03-3.jpg,
3-Gear Adjustment Folding Telescopic Desktop Fan - Green,ok,https://res.cloudinary.com/dzhwylkfr/image/upload/v1778046889/cx-electronics/products/3-gear-adjustment-folding-telescopic-desktop-fan-green-1.jpg,https://res.cloudinary.com/dzhwylkfr/image/upload/v1778046891/cx-electronics/products/3-gear-adjustment-folding-telescopic-desktop-fan-green-2.jpg,https://res.cloudinary.com/dzhwylkfr/image/upload/v1778046892/cx-electronics/products/3-gear-adjustment-folding-telescopic-desktop-fan-green-3.jpg,
"3-in-1 Car Charger with LED Display, USB Type-C and Lightning Compatible Cables, 24W Fast Charging, Digital Voltage Monitor, Black",ok,https://res.cloudinary.com/dzhwylkfr/image/upload/v1778046894/cx-electronics/products/3-in-1-car-charger-with-led-display-usb-type-c-and-lightning-compatible-cables-2-1.jpg,https://res.cloudinary.com/dzhwylkfr/image/upload/v1778046895/cx-electronics/products/3-in-1-car-charger-with-led-display-usb-type-c-and-lightning-compatible-cables-2-2.jpg,https://res.cloudinary.com/dzhwylkfr/image/upload/v1778046897/cx-electronics/products/3-in-1-car-charger-with-led-display-usb-type-c-and-lightning-compatible-cables-2-3.jpg,
3-in-1 HD 1080P Car Dash Camera with Night Vision Wide Angle Lens Recorder,ok,https://res.cloudinary.com/dzhwylkfr/image/upload/v1778046898/cx-electronics/products/3-in-1-hd-1080p-car-dash-camera-with-night-vision-wide-angle-lens-recorder-1.jpg,,,
"3-IN-1 HDMI Switcher with Selector 4K 60Hz, HDMI with Pigtail HDMI Cable,Supports Full HD 4K 1080P 3D Player",ok,https://res.cloudinary.com/dzhwylkfr/image/upload/v1778046900/cx-electronics/products/3-in-1-hdmi-switcher-with-selector-4k-60hz-hdmi-with-pigtail-hdmi-cablesupports--1.jpg,https://res.cloudinary.com/dzhwylkfr/image/upload/v1778046901/cx-electronics/products/3-in-1-hdmi-switcher-with-selector-4k-60hz-hdmi-with-pigtail-hdmi-cablesupports--2.jpg,https://res.cloudinary.com/dzhwylkfr/image/upload/v1778046903/cx-electronics/products/3-in-1-hdmi-switcher-with-selector-4k-60hz-hdmi-with-pigtail-hdmi-cablesupports--3.jpg,
"300W LED Flood Light, IP67 Waterproof Rating, Outdoor Security Light",ok,https://res.cloudinary.com/dzhwylkfr/image/upload/v1778046905/cx-electronics/products/300w-led-flood-light-ip67-waterproof-rating-outdoor-security-light-1.jpg,https://res.cloudinary.com/dzhwylkfr/image/upload/v1778046906/cx-electronics/products/300w-led-flood-light-ip67-waterproof-rating-outdoor-security-light-2.jpg,https://res.cloudinary.com/dzhwylkfr/image/upload/v1778046908/cx-electronics/products/300w-led-flood-light-ip67-waterproof-rating-outdoor-security-light-3.jpg,
"30L Military Tactical Backpack – Outdoor Army Assault Pack for Hunting, Trekking, Camping & Outdoor Activities, Black",ok,https://res.cloudinary.com/dzhwylkfr/image/upload/v1778046909/cx-electronics/products/30l-military-tactical-backpack-outdoor-army-assault-pack-for-hunting-trekking-ca-1.jpg,https://res.cloudinary.com/dzhwylkfr/image/upload/v1778046911/cx-electronics/products/30l-military-tactical-backpack-outdoor-army-assault-pack-for-hunting-trekking-ca-2.jpg,https://res.cloudinary.com/dzhwylkfr/image/upload/v1778046912/cx-electronics/products/30l-military-tactical-backpack-outdoor-army-assault-pack-for-hunting-trekking-ca-3.jpg,
30W GD PLUS Solar Lighting System with 3 Light Bulbs - GD-8017,ok,https://res.cloudinary.com/dzhwylkfr/image/upload/v1778046914/cx-electronics/products/30w-gd-plus-solar-lighting-system-with-3-light-bulbs-gd-8017-1.jpg,https://res.cloudinary.com/dzhwylkfr/image/upload/v1778046916/cx-electronics/products/30w-gd-plus-solar-lighting-system-with-3-light-bulbs-gd-8017-2.jpg,https://res.cloudinary.com/dzhwylkfr/image/upload/v1778046917/cx-electronics/products/30w-gd-plus-solar-lighting-system-with-3-light-bulbs-gd-8017-3.jpg,
