slug,product_name,image_url_1,image_url_2,image_url_3,Has Variants
exlusive-2-piece-drldaytime-running-lamp-bumper-fog-lamp-fit-40in,Exlusive 2 PIECE DRL(DAYTIME RUNNING LAMP) Bumper Fog Lamp Fit (4.0IN),https://m.media-amazon.com/images/I/51eLaORzS3L._AC_SL1360_.jpg,https://m.media-amazon.com/images/I/41R-bQjtL4L._AC_.jpg,https://m.media-amazon.com/images/I/31RbEoClUpL._AC_.jpg,
fake-dummy-waterproof-ir-led-security-camera,Fake Dummy Waterproof IR LED Security Camera,https://m.media-amazon.com/images/I/31Uawf12pgL._AC_.jpg,https://m.media-amazon.com/images/I/41Tz3waJ5KL._AC_.jpg,,
fan-heater-2000w-2-heating-levels-coolwarmhot-wind-adjustable-thermostat-overhea,"Fan Heater, 2000W, 2 Heating Levels, Cool/Warm/Hot Wind, Adjustable Thermostat, Overheat Protection - DGM-QHS23",https://m.media-amazon.com/images/I/41RH70XAu9L._AC_.jpg,https://m.media-amazon.com/images/I/51JPK1GKh4L._AC_.jpg,https://m.media-amazon.com/images/I/51Gjd2fTBqL._AC_.jpg,
fridge-safe-voltage-protector-16a-with-bypass-function-led-indicators-sf-a005f,"Fridge Safe Voltage Protector, 16A, with Bypass Function, LED Indicators, SF-A005F",https://m.media-amazon.com/images/I/41AgT+OkioL._AC_.jpg,https://m.media-amazon.com/images/I/51b7potENcL._AC_SL1000_.jpg,https://m.media-amazon.com/images/I/51meo9UxkfL._AC_SL1000_.jpg,
garden-bypass-pruning-shears-stainless-steel-blade-red-and-white-handles-205cm-s,"Garden Bypass Pruning Shears, Stainless Steel Blade, Red and White Handles, 20.5cm, Spring-Loaded",https://m.media-amazon.com/images/I/414MQxQxWFL._AC_SL1443_.jpg,https://m.media-amazon.com/images/I/41R-YlKEF+L._AC_SL1446_.jpg,,
garden-hose-spray-nozzle-green-abs-7-spray-patterns-anti-slip-handle-adjustable-,"Garden Hose Spray Nozzle, Green, ABS, 7 Spray Patterns, Anti-Slip Handle, Adjustable Water Flow Control",https://m.media-amazon.com/images/I/51fuuRFQ6eL._AC_SL1000_.jpg,https://m.media-amazon.com/images/I/61tycDYXSRS._AC_SL1024_.jpg,https://m.media-amazon.com/images/I/71NBn7zWtmL._AC_SL1500_.jpg,
garden-wall-mounted-solar-motion-sensor-led-lights-set-of-4,Garden Wall Mounted Solar Motion Sensor LED Lights Set of 4,https://m.media-amazon.com/images/I/61ymRTpW4NL._AC_SL1000_.jpg,https://m.media-amazon.com/images/I/710sSbRv3YL._AC_SL1000_.jpg,https://m.media-amazon.com/images/I/51wqg6gcjZL._AC_SL1000_.jpg,
gd-plus-solar-flood-light-gd-2202,GD PLUS SOLAR FLOOD LIGHT - GD-2202,https://m.media-amazon.com/images/I/61wxcoOeL8L._AC_SL1280_.jpg,https://m.media-amazon.com/images/I/61hZ9b2su4L._AC_SL1280_.jpg,https://m.media-amazon.com/images/I/61XwYaps1YL._AC_SL1280_.jpg,
glow-game-keyboard-and-mouse-gaming-suite-with-rgb-backlight,GLOW GAME KEYBOARD AND MOUSE GAMING SUITE WITH RGB BACKLIGHT,https://m.media-amazon.com/images/I/61-HrkKzMzL._AC_SL1200_.jpg,https://m.media-amazon.com/images/I/613pfCRjHHL._AC_SL1500_.jpg,,
green-led-dashboard-strobe-light-emergency-warning-flash-bar-with-suction-cup-mo,"Green LED Dashboard Strobe Light, Emergency Warning Flash Bar with Suction Cup Mount",https://cdn.autostyle.co.za/wp-content/uploads/2020/09/29144823/NSTL-LED33GREEN.jpg,https://m.media-amazon.com/images/I/41kFZ1ZCO5L._AC_SX425_.jpg,,
